0 30
0.01 29.9998
0.02 29.9995
0.03 29.9992
0.04 29.9987
0.05 29.9981
0.06 29.9972
0.07 29.996
0.08 29.9944
0.09 29.9922
0.1 29.9893
0.11 29.9854
0.12 29.9802
0.13 29.9736
0.14 29.9651
0.15 29.9542
0.16 29.9405
0.17 29.9234
0.18 29.9022
0.19 29.8761
0.2 29.8444
0.21 29.8062
0.22 29.7603
0.23 29.7059
0.24 29.6418
0.25 29.5669
0.26 29.48
0.27 29.3799
0.28 29.2655
0.29 29.1358
0.3 28.9896
0.31 28.826
0.32 28.6443
0.33 28.4437
0.34 28.2238
0.35 27.9843
0.36 27.725
0.37 27.4462
0.38 27.1481
0.39 26.8314
0.4 26.4969
0.41 26.1457
0.42 25.779
0.43 25.3984
0.44 25.0055
0.45 24.6022
0.46 24.1903
0.47 23.7721
0.48 23.3495
0.49 22.9247
0.5 22.5
0.51 22.0774
0.52 21.659
0.53 21.2467
0.54 20.8424
0.55 20.4479
0.56 20.0646
0.57 19.694
0.58 19.3372
0.59 18.9953
0.6 18.6691
0.61 18.3592
0.62 18.066
0.63 17.7899
0.64 17.5308
0.65 17.2888
0.66 17.0637
0.67 16.855
0.68 16.6624
0.69 16.4853
0.7 16.3231
0.71 16.175
0.72 16.0405
0.73 15.9186
0.74 15.8086
0.75 15.7097
0.76 15.6211
0.77 15.5419
0.78 15.4715
0.79 15.4091
0.8 15.3539
0.81 15.3053
0.82 15.2626
0.83 15.2253
0.84 15.1927
0.85 15.1644
0.86 15.1398
0.87 15.1185
0.88 15.1002
0.89 15.0843
0.9 15.0707
0.91 15.059
0.92 15.0489
0.93 15.0402
0.94 15.0327
0.95 15.026
0.96 15.0201
0.97 15.0147
0.98 15.0097
0.99 15.0048
1 15
